,# run,cmsls,totprescval,hltpath/prescval
0,378985,1,4.0,HLT_DiPFJetAve500_v21/4
1,378993,1,4.0,HLT_DiPFJetAve500_v21/4
2,378993,4,4.0,HLT_DiPFJetAve500_v21/4
3,379006,1,4.0,HLT_DiPFJetAve500_v21/4
4,379011,1,4.0,HLT_DiPFJetAve500_v21/4
5,379012,1,4.0,HLT_DiPFJetAve500_v21/4
6,379028,1,4.0,HLT_DiPFJetAve500_v21/4
7,379031,1,4.0,HLT_DiPFJetAve500_v21/4
8,379058,1,4.0,HLT_DiPFJetAve500_v21/4
9,379075,1,4.0,HLT_DiPFJetAve500_v21/4
10,379075,5,4.0,HLT_DiPFJetAve500_v21/4
11,379154,1,4.0,HLT_DiPFJetAve500_v21/4
12,379154,15,4.0,HLT_DiPFJetAve500_v21/4
13,379238,1,4.0,HLT_DiPFJetAve500_v21/4
14,379243,1,4.0,HLT_DiPFJetAve500_v21/4
15,379252,1,4.0,HLT_DiPFJetAve500_v21/4
16,379253,1,4.0,HLT_DiPFJetAve500_v21/4
17,379338,1,4.0,HLT_DiPFJetAve500_v21/4
18,379355,1,4.0,HLT_DiPFJetAve500_v21/4
19,379416,1,4.0,HLT_DiPFJetAve500_v21/4
20,379416,6,4.0,HLT_DiPFJetAve500_v21/4
21,379416,154,4.0,HLT_DiPFJetAve500_v21/4
22,379420,1,4.0,HLT_DiPFJetAve500_v21/4
23,379420,2,4.0,HLT_DiPFJetAve500_v21/4
24,379425,1,4.0,HLT_DiPFJetAve500_v21/4
25,379433,1,4.0,HLT_DiPFJetAve500_v21/4
26,379433,5,4.0,HLT_DiPFJetAve500_v21/4
27,379442,1,4.0,HLT_DiPFJetAve500_v21/4
28,379442,9,4.0,HLT_DiPFJetAve500_v21/4
29,379454,1,4.0,HLT_DiPFJetAve500_v21/4
30,379454,2,4.0,HLT_DiPFJetAve500_v21/4
31,379456,1,4.0,HLT_DiPFJetAve500_v21/4
32,379470,1,4.0,HLT_DiPFJetAve500_v21/4
33,379470,8,4.0,HLT_DiPFJetAve500_v21/4
34,379530,1,4.0,HLT_DiPFJetAve500_v21/4
35,379530,451,4.0,HLT_DiPFJetAve500_v21/4
36,379530,483,4.0,HLT_DiPFJetAve500_v21/4
37,379530,610,4.0,HLT_DiPFJetAve500_v21/4
38,379530,622,4.0,HLT_DiPFJetAve500_v21/4
39,379613,1,4.0,HLT_DiPFJetAve500_v22/4
40,379617,1,4.0,HLT_DiPFJetAve500_v22/4
41,379618,1,4.0,HLT_DiPFJetAve500_v21/4
42,379660,1,4.0,HLT_DiPFJetAve500_v21/4
43,379660,10,4.0,HLT_DiPFJetAve500_v21/4
44,379660,639,4.0,HLT_DiPFJetAve500_v21/4
45,379661,1,4.0,HLT_DiPFJetAve500_v21/4
46,379729,1,4.0,HLT_DiPFJetAve500_v21/4
47,379729,689,4.0,HLT_DiPFJetAve500_v21/4
48,379765,1,4.0,HLT_DiPFJetAve500_v21/4
49,379765,829,4.0,HLT_DiPFJetAve500_v21/4
50,379774,1,4.0,HLT_DiPFJetAve500_v21/4
51,379866,1,4.0,HLT_DiPFJetAve500_v21/4
52,379866,156,4.0,HLT_DiPFJetAve500_v21/4
53,379866,187,4.0,HLT_DiPFJetAve500_v21/4
54,379984,1,4.0,HLT_DiPFJetAve500_v21/4
55,379984,20,4.0,HLT_DiPFJetAve500_v21/4
56,379984,135,4.0,HLT_DiPFJetAve500_v21/4
57,379984,456,4.0,HLT_DiPFJetAve500_v21/4
58,380001,1,4.0,HLT_DiPFJetAve500_v21/4
59,380001,4,4.0,HLT_DiPFJetAve500_v21/4
60,380005,1,4.0,HLT_DiPFJetAve500_v21/4
61,380005,4,4.0,HLT_DiPFJetAve500_v21/4
62,380007,1,4.0,HLT_DiPFJetAve500_v21/4
63,380029,1,4.0,HLT_DiPFJetAve500_v21/4
64,380030,1,4.0,HLT_DiPFJetAve500_v21/4
65,380030,17,4.0,HLT_DiPFJetAve500_v21/4
66,380030,99,4.0,HLT_DiPFJetAve500_v21/4
67,380030,127,4.0,HLT_DiPFJetAve500_v21/4
68,380032,1,4.0,HLT_DiPFJetAve500_v21/4
69,380033,1,4.0,HLT_DiPFJetAve500_v21/4
70,380043,1,4.0,HLT_DiPFJetAve500_v21/4
71,380043,3,4.0,HLT_DiPFJetAve500_v21/4
72,380049,1,4.0,HLT_DiPFJetAve500_v21/4
73,380049,7,4.0,HLT_DiPFJetAve500_v21/4
74,380051,1,4.0,HLT_DiPFJetAve500_v21/4
75,380052,1,4.0,HLT_DiPFJetAve500_v21/4
76,380053,1,4.0,HLT_DiPFJetAve500_v21/4
77,380056,1,4.0,HLT_DiPFJetAve500_v21/4
78,380066,1,4.0,HLT_DiPFJetAve500_v21/4
79,380074,1,4.0,HLT_DiPFJetAve500_v21/4
80,380074,9,4.0,HLT_DiPFJetAve500_v21/4
81,380115,1,4.0,HLT_DiPFJetAve500_v21/4
82,380115,337,4.0,HLT_DiPFJetAve500_v21/4
83,380115,378,4.0,HLT_DiPFJetAve500_v21/4
84,380115,578,4.0,HLT_DiPFJetAve500_v21/4
85,380195,1,4.0,HLT_DiPFJetAve500_v21/4
86,380197,1,4.0,HLT_DiPFJetAve500_v21/4
87,380235,1,4.0,HLT_DiPFJetAve500_v21/4
88,380235,3,4.0,HLT_DiPFJetAve500_v21/4
89,380236,1,4.0,HLT_DiPFJetAve500_v21/4
90,380238,1,4.0,HLT_DiPFJetAve500_v21/4
91,380306,1,4.0,HLT_DiPFJetAve500_v22/4
92,380306,3,4.0,HLT_DiPFJetAve500_v22/4
93,380308,1,4.0,HLT_DiPFJetAve500_v22/4
94,380309,1,4.0,HLT_DiPFJetAve500_v22/4
95,380309,7,4.0,HLT_DiPFJetAve500_v22/4
96,380310,1,4.0,HLT_DiPFJetAve500_v22/4
97,380346,1,4.0,HLT_DiPFJetAve500_v22/4
98,380346,155,4.0,HLT_DiPFJetAve500_v22/4
99,380346,175,4.0,HLT_DiPFJetAve500_v22/4
100,380346,187,4.0,HLT_DiPFJetAve500_v22/4
101,380348,1,4.0,HLT_DiPFJetAve500_v22/4
