,# run,cmsls,totprescval,hltpath/prescval
0,391668,1,0.0,HLT_PFJet260_v33/0
1,391668,7,128.0,HLT_PFJet260_v33/128
2,391688,1,128.0,HLT_PFJet260_v33/128
3,391698,1,0.0,HLT_PFJet260_v33/0
4,391698,2,128.0,HLT_PFJet260_v33/128
5,391699,1,128.0,HLT_PFJet260_v33/128
6,391700,1,128.0,HLT_PFJet260_v33/128
7,391825,1,128.0,HLT_PFJet260_v33/128
8,391826,1,128.0,HLT_PFJet260_v33/128
9,391869,1,0.0,HLT_PFJet260_v33/0
10,391869,23,128.0,HLT_PFJet260_v33/128
11,391870,1,128.0,HLT_PFJet260_v33/128
12,391871,1,128.0,HLT_PFJet260_v33/128
13,391873,1,128.0,HLT_PFJet260_v33/128
14,391874,1,128.0,HLT_PFJet260_v33/128
15,391884,1,0.0,HLT_PFJet260_v33/0
16,391884,6,128.0,HLT_PFJet260_v33/128
17,391906,1,0.0,HLT_PFJet260_v33/0
18,391906,3,128.0,HLT_PFJet260_v33/128
19,391906,31,128.0,HLT_PFJet260_v33/128
20,391906,57,128.0,HLT_PFJet260_v33/128
21,391909,1,128.0,HLT_PFJet260_v33/128
22,391910,1,128.0,HLT_PFJet260_v33/128
23,391912,1,0.0,HLT_PFJet260_v33/0
24,391912,5,128.0,HLT_PFJet260_v33/128
25,392030,1,128.0,HLT_PFJet260_v33/128
26,392030,43,128.0,HLT_PFJet260_v33/128
27,392046,1,128.0,HLT_PFJet260_v33/128
28,392052,1,128.0,HLT_PFJet260_v33/128
29,392067,1,128.0,HLT_PFJet260_v33/128
30,392071,1,128.0,HLT_PFJet260_v33/128
31,392109,1,128.0,HLT_PFJet260_v33/128
32,392109,103,128.0,HLT_PFJet260_v33/128
33,392109,108,1.0,HLT_PFJet260_v33/1
34,392109,113,128.0,HLT_PFJet260_v33/128
35,392109,118,128.0,HLT_PFJet260_v33/128
36,392112,1,128.0,HLT_PFJet260_v33/128
37,392112,2,128.0,HLT_PFJet260_v33/128
38,392293,1,128.0,HLT_PFJet260_v34/128
39,392294,1,128.0,HLT_PFJet260_v34/128
40,392294,5,128.0,HLT_PFJet260_v34/128
41,392295,1,128.0,HLT_PFJet260_v34/128
42,392295,48,128.0,HLT_PFJet260_v34/128
43,392295,526,128.0,HLT_PFJet260_v34/128
44,392295,537,128.0,HLT_PFJet260_v34/128
45,392295,548,128.0,HLT_PFJet260_v34/128
46,392295,558,128.0,HLT_PFJet260_v34/128
47,392295,567,128.0,HLT_PFJet260_v34/128
48,392295,576,128.0,HLT_PFJet260_v34/128
49,392295,584,128.0,HLT_PFJet260_v34/128
50,392296,1,128.0,HLT_PFJet260_v34/128
51,392296,865,128.0,HLT_PFJet260_v34/128
52,392301,1,128.0,HLT_PFJet260_v34/128
53,392301,5,128.0,HLT_PFJet260_v34/128
54,392301,57,128.0,HLT_PFJet260_v34/128
55,392301,152,128.0,HLT_PFJet260_v34/128
56,392358,1,128.0,HLT_PFJet260_v34/128
57,392358,2,128.0,HLT_PFJet260_v34/128
58,392358,41,128.0,HLT_PFJet260_v34/128
59,392358,82,128.0,HLT_PFJet260_v34/128
60,392359,1,128.0,HLT_PFJet260_v34/128
61,392360,1,128.0,HLT_PFJet260_v34/128
62,392361,1,128.0,HLT_PFJet260_v34/128
63,392361,253,128.0,HLT_PFJet260_v34/128
64,392361,264,128.0,HLT_PFJet260_v34/128
65,392361,278,128.0,HLT_PFJet260_v34/128
66,392361,286,128.0,HLT_PFJet260_v34/128
67,392362,1,128.0,HLT_PFJet260_v34/128
68,392363,1,128.0,HLT_PFJet260_v34/128
69,392363,17,128.0,HLT_PFJet260_v34/128
70,392363,26,128.0,HLT_PFJet260_v34/128
71,392363,33,128.0,HLT_PFJet260_v34/128
72,392363,952,128.0,HLT_PFJet260_v34/128
73,392382,1,128.0,HLT_PFJet260_v34/128
74,392382,5,128.0,HLT_PFJet260_v34/128
75,392382,14,128.0,HLT_PFJet260_v34/128
76,392382,19,128.0,HLT_PFJet260_v34/128
77,392382,78,128.0,HLT_PFJet260_v34/128
78,392431,1,128.0,HLT_PFJet260_v34/128
79,392431,19,128.0,HLT_PFJet260_v34/128
80,392431,91,128.0,HLT_PFJet260_v34/128
81,392431,131,128.0,HLT_PFJet260_v34/128
82,392431,141,128.0,HLT_PFJet260_v34/128
83,392432,1,128.0,HLT_PFJet260_v34/128
84,392440,1,128.0,HLT_PFJet260_v34/128
85,392440,195,128.0,HLT_PFJet260_v34/128
86,392440,204,128.0,HLT_PFJet260_v34/128
87,392441,1,128.0,HLT_PFJet260_v34/128
88,392442,1,128.0,HLT_PFJet260_v34/128
89,392442,286,128.0,HLT_PFJet260_v34/128
90,392442,556,128.0,HLT_PFJet260_v34/128
91,392473,1,128.0,HLT_PFJet260_v34/128
92,392473,69,128.0,HLT_PFJet260_v34/128
93,392473,129,128.0,HLT_PFJet260_v34/128
94,392476,1,128.0,HLT_PFJet260_v34/128
95,392477,1,128.0,HLT_PFJet260_v34/128
96,392517,1,128.0,HLT_PFJet260_v34/128
97,392517,32,128.0,HLT_PFJet260_v34/128
98,392524,1,128.0,HLT_PFJet260_v34/128
99,392524,16,128.0,HLT_PFJet260_v34/128
100,392524,60,128.0,HLT_PFJet260_v34/128
101,392524,130,128.0,HLT_PFJet260_v34/128
102,392526,1,128.0,HLT_PFJet260_v34/128
103,392526,685,128.0,HLT_PFJet260_v34/128
104,392526,795,128.0,HLT_PFJet260_v34/128
105,392526,924,128.0,HLT_PFJet260_v34/128
106,392526,1014,128.0,HLT_PFJet260_v34/128
107,392526,1168,128.0,HLT_PFJet260_v34/128
108,392538,1,128.0,HLT_PFJet260_v34/128
109,392538,20,128.0,HLT_PFJet260_v34/128
110,392538,67,128.0,HLT_PFJet260_v34/128
111,392538,111,128.0,HLT_PFJet260_v34/128
112,392540,1,128.0,HLT_PFJet260_v34/128
113,392541,1,128.0,HLT_PFJet260_v34/128
114,392542,1,128.0,HLT_PFJet260_v34/128
115,392542,491,128.0,HLT_PFJet260_v34/128
116,392542,626,128.0,HLT_PFJet260_v34/128
117,392542,733,128.0,HLT_PFJet260_v34/128
118,392542,773,128.0,HLT_PFJet260_v34/128
119,392542,827,128.0,HLT_PFJet260_v34/128
120,392542,935,128.0,HLT_PFJet260_v34/128
121,392542,1095,128.0,HLT_PFJet260_v34/128
122,392633,1,128.0,HLT_PFJet260_v34/128
123,392633,3,128.0,HLT_PFJet260_v34/128
124,392634,1,128.0,HLT_PFJet260_v34/128
125,392635,1,128.0,HLT_PFJet260_v34/128
126,392642,1,128.0,HLT_PFJet260_v34/128
127,392642,4,128.0,HLT_PFJet260_v34/128
128,392642,174,128.0,HLT_PFJet260_v34/128
129,392642,188,128.0,HLT_PFJet260_v34/128
130,392642,1249,128.0,HLT_PFJet260_v34/128
131,392642,1499,128.0,HLT_PFJet260_v34/128
132,392642,1508,128.0,HLT_PFJet260_v34/128
133,392642,1538,128.0,HLT_PFJet260_v34/128
