,# run,cmsls,totprescval,hltpath/prescval
0,378985,1,32.0,HLT_PFJet320_v27/32
1,378993,1,32.0,HLT_PFJet320_v27/32
2,378993,4,32.0,HLT_PFJet320_v27/32
3,379006,1,32.0,HLT_PFJet320_v27/32
4,379011,1,32.0,HLT_PFJet320_v27/32
5,379012,1,32.0,HLT_PFJet320_v27/32
6,379028,1,32.0,HLT_PFJet320_v27/32
7,379031,1,32.0,HLT_PFJet320_v27/32
8,379058,1,32.0,HLT_PFJet320_v27/32
9,379075,1,32.0,HLT_PFJet320_v27/32
10,379075,5,32.0,HLT_PFJet320_v27/32
11,379154,1,32.0,HLT_PFJet320_v27/32
12,379154,15,32.0,HLT_PFJet320_v27/32
13,379238,1,32.0,HLT_PFJet320_v27/32
14,379243,1,32.0,HLT_PFJet320_v27/32
15,379252,1,32.0,HLT_PFJet320_v27/32
16,379253,1,32.0,HLT_PFJet320_v27/32
17,379338,1,32.0,HLT_PFJet320_v27/32
18,379355,1,32.0,HLT_PFJet320_v27/32
19,379416,1,32.0,HLT_PFJet320_v27/32
20,379416,6,32.0,HLT_PFJet320_v27/32
21,379416,154,32.0,HLT_PFJet320_v27/32
22,379420,1,32.0,HLT_PFJet320_v27/32
23,379420,2,32.0,HLT_PFJet320_v27/32
24,379425,1,32.0,HLT_PFJet320_v27/32
25,379433,1,32.0,HLT_PFJet320_v27/32
26,379433,5,32.0,HLT_PFJet320_v27/32
27,379442,1,32.0,HLT_PFJet320_v27/32
28,379442,9,32.0,HLT_PFJet320_v27/32
29,379454,1,32.0,HLT_PFJet320_v27/32
30,379454,2,32.0,HLT_PFJet320_v27/32
31,379456,1,32.0,HLT_PFJet320_v27/32
32,379470,1,32.0,HLT_PFJet320_v27/32
33,379470,8,32.0,HLT_PFJet320_v27/32
34,379530,1,32.0,HLT_PFJet320_v27/32
35,379530,451,32.0,HLT_PFJet320_v27/32
36,379530,483,32.0,HLT_PFJet320_v27/32
37,379530,610,32.0,HLT_PFJet320_v27/32
38,379530,622,32.0,HLT_PFJet320_v27/32
39,379613,1,32.0,HLT_PFJet320_v28/32
40,379617,1,32.0,HLT_PFJet320_v28/32
41,379618,1,32.0,HLT_PFJet320_v27/32
42,379660,1,32.0,HLT_PFJet320_v27/32
43,379660,10,32.0,HLT_PFJet320_v27/32
44,379660,639,32.0,HLT_PFJet320_v27/32
45,379661,1,32.0,HLT_PFJet320_v27/32
46,379729,1,32.0,HLT_PFJet320_v27/32
47,379729,689,32.0,HLT_PFJet320_v27/32
48,379765,1,32.0,HLT_PFJet320_v27/32
49,379765,829,32.0,HLT_PFJet320_v27/32
50,379774,1,32.0,HLT_PFJet320_v27/32
51,379866,1,32.0,HLT_PFJet320_v27/32
52,379866,156,32.0,HLT_PFJet320_v27/32
53,379866,187,32.0,HLT_PFJet320_v27/32
54,379984,1,32.0,HLT_PFJet320_v27/32
55,379984,20,32.0,HLT_PFJet320_v27/32
56,379984,135,32.0,HLT_PFJet320_v27/32
57,379984,456,32.0,HLT_PFJet320_v27/32
58,380001,1,32.0,HLT_PFJet320_v27/32
59,380001,4,32.0,HLT_PFJet320_v27/32
60,380005,1,32.0,HLT_PFJet320_v27/32
61,380005,4,32.0,HLT_PFJet320_v27/32
62,380007,1,32.0,HLT_PFJet320_v27/32
63,380029,1,32.0,HLT_PFJet320_v27/32
64,380030,1,32.0,HLT_PFJet320_v27/32
65,380030,17,32.0,HLT_PFJet320_v27/32
66,380030,99,32.0,HLT_PFJet320_v27/32
67,380030,127,32.0,HLT_PFJet320_v27/32
68,380032,1,32.0,HLT_PFJet320_v27/32
69,380033,1,32.0,HLT_PFJet320_v27/32
70,380043,1,32.0,HLT_PFJet320_v27/32
71,380043,3,32.0,HLT_PFJet320_v27/32
72,380049,1,32.0,HLT_PFJet320_v27/32
73,380049,7,32.0,HLT_PFJet320_v27/32
74,380051,1,32.0,HLT_PFJet320_v27/32
