,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,355374,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/8.00
1,355374,68,6,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/8.00
2,355374,80,5,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/8.00
0,355381,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/8.00
1,355381,3,9,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/14.00
0,355418,1,11,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/233.00
0,355419,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
1,355419,2,15,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/7.00
2,355419,3,11,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/233.00
0,355429,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
1,355429,7,11,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/233.00
2,355429,80,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
0,355435,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
1,355435,64,15,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/7.00
0,355442,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
0,355443,1,13,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/233.00
0,355444,1,13,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/233.00
0,355445,1,13,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/233.00
0,355454,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
0,355455,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
0,355456,1,7,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/9.00
0,355558,1,9,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/1223.00
0,355559,1,9,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/1223.00
0,355679,1,9,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/1223.00
1,355679,4,12,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/1151.00
0,355680,1,12,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/1151.00
0,355768,1,3,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/2213.00
1,355768,77,2,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/1151.00
0,355769,1,2,0.0,HLT_PFJet40_v21/0,OR,L1_AlwaysTrue/0.00 L1_ZeroBias/1151.00
0,355862,1,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
1,355862,17,0,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/17881.00
2,355862,21,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
3,355862,126,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/7639.00
0,355863,1,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/7639.00
0,355870,1,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/7639.00
1,355870,15,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
0,355871,1,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
1,355871,11,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/7639.00
0,355872,1,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/7639.00
1,355872,6,10,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
2,355872,73,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/7639.00
3,355872,96,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
0,355892,1,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
1,355892,6,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
0,355912,1,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
0,355913,1,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
0,355921,1,11,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
0,355933,1,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
1,355933,4,13,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
2,355933,30,3,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
3,355933,50,13,0.0,HLT_PFJet40_v22/0,ONE,L1_ZeroBias/2213.00
