,# run,cmsls,totprescval,hltpath/prescval
0,378985,1,16.0,HLT_DiPFJetAve400_v21/16
1,378993,1,16.0,HLT_DiPFJetAve400_v21/16
2,378993,4,16.0,HLT_DiPFJetAve400_v21/16
3,379006,1,16.0,HLT_DiPFJetAve400_v21/16
4,379011,1,16.0,HLT_DiPFJetAve400_v21/16
5,379012,1,16.0,HLT_DiPFJetAve400_v21/16
6,379028,1,16.0,HLT_DiPFJetAve400_v21/16
7,379031,1,16.0,HLT_DiPFJetAve400_v21/16
8,379058,1,16.0,HLT_DiPFJetAve400_v21/16
9,379075,1,16.0,HLT_DiPFJetAve400_v21/16
10,379075,5,16.0,HLT_DiPFJetAve400_v21/16
11,379154,1,16.0,HLT_DiPFJetAve400_v21/16
12,379154,15,16.0,HLT_DiPFJetAve400_v21/16
13,379238,1,16.0,HLT_DiPFJetAve400_v21/16
14,379243,1,16.0,HLT_DiPFJetAve400_v21/16
15,379252,1,16.0,HLT_DiPFJetAve400_v21/16
16,379253,1,16.0,HLT_DiPFJetAve400_v21/16
17,379338,1,16.0,HLT_DiPFJetAve400_v21/16
18,379355,1,16.0,HLT_DiPFJetAve400_v21/16
19,379416,1,16.0,HLT_DiPFJetAve400_v21/16
20,379416,6,16.0,HLT_DiPFJetAve400_v21/16
21,379416,154,16.0,HLT_DiPFJetAve400_v21/16
22,379420,1,16.0,HLT_DiPFJetAve400_v21/16
23,379420,2,16.0,HLT_DiPFJetAve400_v21/16
24,379425,1,16.0,HLT_DiPFJetAve400_v21/16
25,379433,1,16.0,HLT_DiPFJetAve400_v21/16
26,379433,5,16.0,HLT_DiPFJetAve400_v21/16
27,379442,1,16.0,HLT_DiPFJetAve400_v21/16
28,379442,9,16.0,HLT_DiPFJetAve400_v21/16
29,379454,1,16.0,HLT_DiPFJetAve400_v21/16
30,379454,2,16.0,HLT_DiPFJetAve400_v21/16
31,379456,1,16.0,HLT_DiPFJetAve400_v21/16
32,379470,1,16.0,HLT_DiPFJetAve400_v21/16
33,379470,8,16.0,HLT_DiPFJetAve400_v21/16
34,379530,1,16.0,HLT_DiPFJetAve400_v21/16
35,379530,451,16.0,HLT_DiPFJetAve400_v21/16
36,379530,483,16.0,HLT_DiPFJetAve400_v21/16
37,379530,610,16.0,HLT_DiPFJetAve400_v21/16
38,379530,622,16.0,HLT_DiPFJetAve400_v21/16
39,379613,1,16.0,HLT_DiPFJetAve400_v22/16
40,379617,1,16.0,HLT_DiPFJetAve400_v22/16
41,379618,1,16.0,HLT_DiPFJetAve400_v21/16
42,379660,1,16.0,HLT_DiPFJetAve400_v21/16
43,379660,10,16.0,HLT_DiPFJetAve400_v21/16
44,379660,639,16.0,HLT_DiPFJetAve400_v21/16
45,379661,1,16.0,HLT_DiPFJetAve400_v21/16
46,379729,1,16.0,HLT_DiPFJetAve400_v21/16
47,379729,689,16.0,HLT_DiPFJetAve400_v21/16
48,379765,1,16.0,HLT_DiPFJetAve400_v21/16
49,379765,829,16.0,HLT_DiPFJetAve400_v21/16
50,379774,1,16.0,HLT_DiPFJetAve400_v21/16
51,379866,1,16.0,HLT_DiPFJetAve400_v21/16
52,379866,156,16.0,HLT_DiPFJetAve400_v21/16
53,379866,187,16.0,HLT_DiPFJetAve400_v21/16
54,379984,1,16.0,HLT_DiPFJetAve400_v21/16
55,379984,20,16.0,HLT_DiPFJetAve400_v21/16
56,379984,135,16.0,HLT_DiPFJetAve400_v21/16
57,379984,456,16.0,HLT_DiPFJetAve400_v21/16
58,380001,1,16.0,HLT_DiPFJetAve400_v21/16
59,380001,4,16.0,HLT_DiPFJetAve400_v21/16
60,380005,1,16.0,HLT_DiPFJetAve400_v21/16
61,380005,4,16.0,HLT_DiPFJetAve400_v21/16
62,380007,1,16.0,HLT_DiPFJetAve400_v21/16
63,380029,1,16.0,HLT_DiPFJetAve400_v21/16
64,380030,1,16.0,HLT_DiPFJetAve400_v21/16
65,380030,17,16.0,HLT_DiPFJetAve400_v21/16
66,380030,99,16.0,HLT_DiPFJetAve400_v21/16
