,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,355374,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
1,355374,68,6,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
2,355374,80,5,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
3,355381,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
4,355381,3,9,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
5,355418,1,11,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
6,355419,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
7,355419,2,15,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
8,355419,3,11,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
9,355429,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
10,355429,7,11,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
11,355429,80,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
12,355435,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
13,355435,64,15,0.0,HLT_PFJet260_v20/0,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
14,355442,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
15,355443,1,13,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
16,355444,1,13,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
17,355445,1,13,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
18,355454,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
19,355455,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
20,355456,1,7,0.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
21,355558,1,9,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
22,355559,1,9,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
23,355679,1,9,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
24,355679,4,12,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
25,355680,1,12,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
26,355768,1,3,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
27,355768,77,2,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
28,355769,1,2,128.0,HLT_PFJet260_v20/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
29,355862,1,3,128.0,HLT_PFJet260_v21/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
30,355862,17,0,0.0,HLT_PFJet260_v21/0,OR,L1_SingleJet180/0.00 L1_SingleJet200/0.00 L1_SingleJet160er2p5/0.00
