,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,378985,1,1,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
1,378993,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
2,378993,4,9,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
3,379006,1,9,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
4,379011,1,9,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
5,379012,1,9,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
6,379028,1,9,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
7,379031,1,9,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
8,379058,1,16,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
9,379075,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
10,379075,5,16,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
11,379154,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
12,379154,15,16,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
13,379238,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
14,379243,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
15,379252,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
16,379253,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
17,379338,1,22,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
18,379355,1,29,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
19,379416,1,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
20,379416,6,6,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
21,379416,154,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
22,379420,1,7,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
23,379420,2,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
24,379425,1,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
25,379433,1,7,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
26,379433,5,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
27,379442,1,7,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
28,379442,9,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
29,379454,1,7,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
30,379454,2,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
31,379456,1,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
32,379470,1,7,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
33,379470,8,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
34,379530,1,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
35,379530,451,6,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
36,379530,483,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
37,379530,610,6,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
38,379530,622,4,1500.0,HLT_PFJet140_v26/1,ONE,L1_SingleJet90/1500.00
39,379613,1,4,1500.0,HLT_PFJet140_v27/1,ONE,L1_SingleJet90/1500.00
40,379617,1,4,1500.0,HLT_PFJet140_v27/1,ONE,L1_SingleJet90/1500.00
