# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355374,1,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355374,68,6,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355374,80,5,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355381,1,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355381,3,9,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355418,1,11,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/256.00
355419,1,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355419,2,15,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355419,3,11,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/256.00
355429,1,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355429,7,11,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/256.00
355429,80,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355435,1,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355435,64,15,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/0,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355442,1,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/0.00
355443,1,13,256.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/256.00
355444,1,13,256.0,HLT_BTagMu_AK4DiJet40_Mu5_v13/1,ONE,L1_Mu3_Jet35er2p5_dR_Max0p4/256.00
