,# run,cmsls,totprescval,hltpath/prescval
0,391668,1,0.0,HLT_PFJet320_v33/0
1,391668,7,32.0,HLT_PFJet320_v33/32
2,391688,1,32.0,HLT_PFJet320_v33/32
3,391698,1,0.0,HLT_PFJet320_v33/0
4,391698,2,32.0,HLT_PFJet320_v33/32
5,391699,1,32.0,HLT_PFJet320_v33/32
6,391700,1,32.0,HLT_PFJet320_v33/32
7,391825,1,32.0,HLT_PFJet320_v33/32
8,391826,1,32.0,HLT_PFJet320_v33/32
9,391869,1,0.0,HLT_PFJet320_v33/0
10,391869,23,32.0,HLT_PFJet320_v33/32
11,391870,1,32.0,HLT_PFJet320_v33/32
12,391871,1,32.0,HLT_PFJet320_v33/32
13,391873,1,32.0,HLT_PFJet320_v33/32
14,391874,1,32.0,HLT_PFJet320_v33/32
15,391884,1,0.0,HLT_PFJet320_v33/0
16,391884,6,32.0,HLT_PFJet320_v33/32
17,391906,1,0.0,HLT_PFJet320_v33/0
18,391906,3,32.0,HLT_PFJet320_v33/32
19,391906,31,32.0,HLT_PFJet320_v33/32
20,391906,57,32.0,HLT_PFJet320_v33/32
21,391909,1,32.0,HLT_PFJet320_v33/32
22,391910,1,32.0,HLT_PFJet320_v33/32
23,391912,1,0.0,HLT_PFJet320_v33/0
24,391912,5,32.0,HLT_PFJet320_v33/32
25,392030,1,32.0,HLT_PFJet320_v33/32
26,392030,43,32.0,HLT_PFJet320_v33/32
27,392046,1,32.0,HLT_PFJet320_v33/32
28,392052,1,32.0,HLT_PFJet320_v33/32
29,392067,1,32.0,HLT_PFJet320_v33/32
30,392071,1,32.0,HLT_PFJet320_v33/32
31,392109,1,32.0,HLT_PFJet320_v33/32
32,392109,103,32.0,HLT_PFJet320_v33/32
33,392109,108,32.0,HLT_PFJet320_v33/32
34,392109,113,32.0,HLT_PFJet320_v33/32
35,392109,118,32.0,HLT_PFJet320_v33/32
36,392112,1,32.0,HLT_PFJet320_v33/32
37,392112,2,32.0,HLT_PFJet320_v33/32
38,392293,1,32.0,HLT_PFJet320_v34/32
39,392294,1,32.0,HLT_PFJet320_v34/32
40,392294,5,32.0,HLT_PFJet320_v34/32
41,392295,1,32.0,HLT_PFJet320_v34/32
42,392295,48,32.0,HLT_PFJet320_v34/32
43,392295,526,32.0,HLT_PFJet320_v34/32
44,392295,537,32.0,HLT_PFJet320_v34/32
45,392295,548,32.0,HLT_PFJet320_v34/32
46,392295,558,32.0,HLT_PFJet320_v34/32
47,392295,567,32.0,HLT_PFJet320_v34/32
48,392295,576,32.0,HLT_PFJet320_v34/32
49,392295,584,32.0,HLT_PFJet320_v34/32
50,392296,1,32.0,HLT_PFJet320_v34/32
51,392296,865,32.0,HLT_PFJet320_v34/32
52,392301,1,32.0,HLT_PFJet320_v34/32
53,392301,5,32.0,HLT_PFJet320_v34/32
54,392301,57,32.0,HLT_PFJet320_v34/32
55,392301,152,32.0,HLT_PFJet320_v34/32
56,392358,1,32.0,HLT_PFJet320_v34/32
57,392358,2,32.0,HLT_PFJet320_v34/32
58,392358,41,32.0,HLT_PFJet320_v34/32
59,392358,82,32.0,HLT_PFJet320_v34/32
60,392359,1,32.0,HLT_PFJet320_v34/32
61,392360,1,32.0,HLT_PFJet320_v34/32
62,392361,1,32.0,HLT_PFJet320_v34/32
63,392361,253,32.0,HLT_PFJet320_v34/32
64,392361,264,32.0,HLT_PFJet320_v34/32
65,392361,278,32.0,HLT_PFJet320_v34/32
66,392361,286,32.0,HLT_PFJet320_v34/32
67,392362,1,32.0,HLT_PFJet320_v34/32
68,392363,1,32.0,HLT_PFJet320_v34/32
69,392363,17,32.0,HLT_PFJet320_v34/32
70,392363,26,32.0,HLT_PFJet320_v34/32
71,392363,33,32.0,HLT_PFJet320_v34/32
72,392363,952,32.0,HLT_PFJet320_v34/32
73,392382,1,32.0,HLT_PFJet320_v34/32
74,392382,5,32.0,HLT_PFJet320_v34/32
75,392382,14,32.0,HLT_PFJet320_v34/32
76,392382,19,32.0,HLT_PFJet320_v34/32
77,392382,78,32.0,HLT_PFJet320_v34/32
78,392431,1,32.0,HLT_PFJet320_v34/32
79,392431,19,32.0,HLT_PFJet320_v34/32
80,392431,91,32.0,HLT_PFJet320_v34/32
81,392431,131,32.0,HLT_PFJet320_v34/32
82,392431,141,32.0,HLT_PFJet320_v34/32
83,392432,1,32.0,HLT_PFJet320_v34/32
84,392440,1,32.0,HLT_PFJet320_v34/32
85,392440,195,32.0,HLT_PFJet320_v34/32
