,# run,cmsls,totprescval,hltpath/prescval
0,378981,1,48.0,HLT_DiPFJetAve320_v21/48
1,378981,4,48.0,HLT_DiPFJetAve320_v21/48
2,378985,1,48.0,HLT_DiPFJetAve320_v21/48
3,378993,1,48.0,HLT_DiPFJetAve320_v21/48
4,378993,4,48.0,HLT_DiPFJetAve320_v21/48
5,378994,1,48.0,HLT_DiPFJetAve320_v21/48
6,378995,1,48.0,HLT_DiPFJetAve320_v21/48
7,378996,1,48.0,HLT_DiPFJetAve320_v21/48
8,378997,1,48.0,HLT_DiPFJetAve320_v21/48
9,378998,1,48.0,HLT_DiPFJetAve320_v21/48
10,378999,1,48.0,HLT_DiPFJetAve320_v21/48
11,379000,1,48.0,HLT_DiPFJetAve320_v21/48
12,379001,1,48.0,HLT_DiPFJetAve320_v21/48
13,379002,1,48.0,HLT_DiPFJetAve320_v21/48
14,379003,1,48.0,HLT_DiPFJetAve320_v21/48
15,379004,1,48.0,HLT_DiPFJetAve320_v21/48
16,379005,1,48.0,HLT_DiPFJetAve320_v21/48
17,379006,1,48.0,HLT_DiPFJetAve320_v21/48
18,379007,1,48.0,HLT_DiPFJetAve320_v21/48
19,379008,1,48.0,HLT_DiPFJetAve320_v21/48
20,379009,1,48.0,HLT_DiPFJetAve320_v21/48
21,379010,1,48.0,HLT_DiPFJetAve320_v21/48
22,379011,1,48.0,HLT_DiPFJetAve320_v21/48
23,379012,1,48.0,HLT_DiPFJetAve320_v21/48
24,379028,1,48.0,HLT_DiPFJetAve320_v21/48
25,379029,1,48.0,HLT_DiPFJetAve320_v21/48
26,379030,1,1.0,HLT_DiPFJetAve320_v21/1
27,379030,3,1.0,HLT_DiPFJetAve320_v21/1
28,379031,1,48.0,HLT_DiPFJetAve320_v21/48
29,379058,1,48.0,HLT_DiPFJetAve320_v21/48
30,379075,1,48.0,HLT_DiPFJetAve320_v21/48
31,379075,5,48.0,HLT_DiPFJetAve320_v21/48
32,379154,1,48.0,HLT_DiPFJetAve320_v21/48
33,379154,15,48.0,HLT_DiPFJetAve320_v21/48
34,379238,1,48.0,HLT_DiPFJetAve320_v21/48
35,379243,1,48.0,HLT_DiPFJetAve320_v21/48
36,379252,1,48.0,HLT_DiPFJetAve320_v21/48
37,379253,1,48.0,HLT_DiPFJetAve320_v21/48
38,379315,1,0.0,HLT_DiPFJetAve320_v21/48
39,379316,1,0.0,HLT_DiPFJetAve320_v21/48
40,379317,1,0.0,HLT_DiPFJetAve320_v21/48
41,379318,1,0.0,HLT_DiPFJetAve320_v21/48
