,# run,cmsls,totprescval,hltpath/prescval
0,378981,1,128.0,HLT_DiPFJetAve260_v21/128
1,378981,4,128.0,HLT_DiPFJetAve260_v21/128
2,378985,1,128.0,HLT_DiPFJetAve260_v21/128
3,378993,1,128.0,HLT_DiPFJetAve260_v21/128
4,378993,4,128.0,HLT_DiPFJetAve260_v21/128
5,378994,1,128.0,HLT_DiPFJetAve260_v21/128
6,378995,1,128.0,HLT_DiPFJetAve260_v21/128
7,378996,1,128.0,HLT_DiPFJetAve260_v21/128
8,378997,1,128.0,HLT_DiPFJetAve260_v21/128
9,378998,1,128.0,HLT_DiPFJetAve260_v21/128
10,378999,1,128.0,HLT_DiPFJetAve260_v21/128
11,379000,1,128.0,HLT_DiPFJetAve260_v21/128
12,379001,1,128.0,HLT_DiPFJetAve260_v21/128
13,379002,1,128.0,HLT_DiPFJetAve260_v21/128
14,379003,1,128.0,HLT_DiPFJetAve260_v21/128
15,379004,1,128.0,HLT_DiPFJetAve260_v21/128
16,379005,1,128.0,HLT_DiPFJetAve260_v21/128
17,379006,1,128.0,HLT_DiPFJetAve260_v21/128
18,379007,1,128.0,HLT_DiPFJetAve260_v21/128
19,379008,1,128.0,HLT_DiPFJetAve260_v21/128
20,379009,1,128.0,HLT_DiPFJetAve260_v21/128
21,379010,1,128.0,HLT_DiPFJetAve260_v21/128
22,379011,1,128.0,HLT_DiPFJetAve260_v21/128
23,379012,1,128.0,HLT_DiPFJetAve260_v21/128
24,379028,1,128.0,HLT_DiPFJetAve260_v21/128
25,379029,1,128.0,HLT_DiPFJetAve260_v21/128
26,379030,1,1.0,HLT_DiPFJetAve260_v21/1
27,379030,3,1.0,HLT_DiPFJetAve260_v21/1
28,379031,1,128.0,HLT_DiPFJetAve260_v21/128
29,379058,1,128.0,HLT_DiPFJetAve260_v21/128
30,379075,1,128.0,HLT_DiPFJetAve260_v21/128
31,379075,5,128.0,HLT_DiPFJetAve260_v21/128
32,379154,1,128.0,HLT_DiPFJetAve260_v21/128
33,379154,15,128.0,HLT_DiPFJetAve260_v21/128
34,379238,1,128.0,HLT_DiPFJetAve260_v21/128
35,379243,1,128.0,HLT_DiPFJetAve260_v21/128
36,379252,1,128.0,HLT_DiPFJetAve260_v21/128
37,379253,1,128.0,HLT_DiPFJetAve260_v21/128
38,379315,1,0.0,HLT_DiPFJetAve260_v21/128
39,379316,1,0.0,HLT_DiPFJetAve260_v21/128
40,379317,1,0.0,HLT_DiPFJetAve260_v21/128
41,379318,1,0.0,HLT_DiPFJetAve260_v21/128
42,379337,1,128.0,HLT_DiPFJetAve260_v21/128
43,379337,20,0.0,HLT_DiPFJetAve260_v21/128
44,379338,1,128.0,HLT_DiPFJetAve260_v21/128
45,379349,1,128.0,HLT_DiPFJetAve260_v21/128
46,379349,4,128.0,HLT_DiPFJetAve260_v21/128
47,379350,1,128.0,HLT_DiPFJetAve260_v21/128
48,379355,1,128.0,HLT_DiPFJetAve260_v21/128
49,379415,1,128.0,HLT_DiPFJetAve260_v21/128
50,379416,1,128.0,HLT_DiPFJetAve260_v21/128
51,379416,6,128.0,HLT_DiPFJetAve260_v21/128
52,379416,154,128.0,HLT_DiPFJetAve260_v21/128
53,379420,1,128.0,HLT_DiPFJetAve260_v21/128
54,379420,2,128.0,HLT_DiPFJetAve260_v21/128
55,379425,1,128.0,HLT_DiPFJetAve260_v21/128
56,379433,1,128.0,HLT_DiPFJetAve260_v21/128
57,379433,5,128.0,HLT_DiPFJetAve260_v21/128
58,379442,1,128.0,HLT_DiPFJetAve260_v21/128
59,379442,9,128.0,HLT_DiPFJetAve260_v21/128
60,379454,1,128.0,HLT_DiPFJetAve260_v21/128
61,379454,2,128.0,HLT_DiPFJetAve260_v21/128
62,379456,1,128.0,HLT_DiPFJetAve260_v21/128
63,379470,1,128.0,HLT_DiPFJetAve260_v21/128
64,379470,8,128.0,HLT_DiPFJetAve260_v21/128
65,379530,1,128.0,HLT_DiPFJetAve260_v21/128
66,379530,451,128.0,HLT_DiPFJetAve260_v21/128
67,379530,483,128.0,HLT_DiPFJetAve260_v21/128
68,379530,610,128.0,HLT_DiPFJetAve260_v21/128
69,379530,622,128.0,HLT_DiPFJetAve260_v21/128
70,379613,1,128.0,HLT_DiPFJetAve260_v22/128
71,379614,1,128.0,HLT_DiPFJetAve260_v22/128
72,379615,1,128.0,HLT_DiPFJetAve260_v22/128
73,379616,1,128.0,HLT_DiPFJetAve260_v22/128
74,379617,1,128.0,HLT_DiPFJetAve260_v22/128
75,379618,1,128.0,HLT_DiPFJetAve260_v21/128
76,379660,1,128.0,HLT_DiPFJetAve260_v21/128
77,379660,10,128.0,HLT_DiPFJetAve260_v21/128
78,379660,639,128.0,HLT_DiPFJetAve260_v21/128
79,379661,1,128.0,HLT_DiPFJetAve260_v21/128
80,379729,1,128.0,HLT_DiPFJetAve260_v21/128
81,379729,689,128.0,HLT_DiPFJetAve260_v21/128
82,379765,1,128.0,HLT_DiPFJetAve260_v21/128
83,379765,829,128.0,HLT_DiPFJetAve260_v21/128
84,379766,1,1.0,HLT_DiPFJetAve260_v21/1
85,379774,1,128.0,HLT_DiPFJetAve260_v21/128
86,379866,1,128.0,HLT_DiPFJetAve260_v21/128
87,379866,156,128.0,HLT_DiPFJetAve260_v21/128
88,379866,187,128.0,HLT_DiPFJetAve260_v21/128
89,379984,1,128.0,HLT_DiPFJetAve260_v21/128
90,379984,20,128.0,HLT_DiPFJetAve260_v21/128
91,379984,135,128.0,HLT_DiPFJetAve260_v21/128
92,379984,456,128.0,HLT_DiPFJetAve260_v21/128
93,380001,1,128.0,HLT_DiPFJetAve260_v21/128
94,380001,4,128.0,HLT_DiPFJetAve260_v21/128
95,380005,1,128.0,HLT_DiPFJetAve260_v21/128
96,380005,4,128.0,HLT_DiPFJetAve260_v21/128
97,380006,1,128.0,HLT_DiPFJetAve260_v21/128
98,380007,1,128.0,HLT_DiPFJetAve260_v21/128
99,380029,1,128.0,HLT_DiPFJetAve260_v21/128
100,380030,1,128.0,HLT_DiPFJetAve260_v21/128
101,380030,17,128.0,HLT_DiPFJetAve260_v21/128
102,380030,99,128.0,HLT_DiPFJetAve260_v21/128
103,380030,127,128.0,HLT_DiPFJetAve260_v21/128
104,380032,1,128.0,HLT_DiPFJetAve260_v21/128
105,380033,1,128.0,HLT_DiPFJetAve260_v21/128
106,380043,1,128.0,HLT_DiPFJetAve260_v21/128
107,380043,3,128.0,HLT_DiPFJetAve260_v21/128
108,380049,1,128.0,HLT_DiPFJetAve260_v21/128
109,380049,7,128.0,HLT_DiPFJetAve260_v21/128
110,380050,1,128.0,HLT_DiPFJetAve260_v21/128
111,380051,1,128.0,HLT_DiPFJetAve260_v21/128
112,380052,1,128.0,HLT_DiPFJetAve260_v21/128
113,380053,1,128.0,HLT_DiPFJetAve260_v21/128
114,380056,1,128.0,HLT_DiPFJetAve260_v21/128
115,380066,1,128.0,HLT_DiPFJetAve260_v21/128
116,380074,1,128.0,HLT_DiPFJetAve260_v21/128
117,380074,9,128.0,HLT_DiPFJetAve260_v21/128
118,380115,1,128.0,HLT_DiPFJetAve260_v21/128
119,380115,337,128.0,HLT_DiPFJetAve260_v21/128
120,380115,378,128.0,HLT_DiPFJetAve260_v21/128
121,380115,578,128.0,HLT_DiPFJetAve260_v21/128
122,380195,1,128.0,HLT_DiPFJetAve260_v21/128
123,380196,1,128.0,HLT_DiPFJetAve260_v21/128
124,380197,1,128.0,HLT_DiPFJetAve260_v21/128
